model,feature,importance,coefficient
gradient_boosting,price_rough_bergomi_mc,0.5190644687357507,
gradient_boosting,price_rough_bergomi_lsmc,0.4128430850768524,
gradient_boosting,price_black_scholes,0.022039607847896582,
gradient_boosting,price_monte_carlo,0.019454393481807594,
gradient_boosting,price_lsmc,0.012515236099834131,
gradient_boosting,price_tree,0.0044102207536645096,
gradient_boosting,log_moneyness,0.003044392491900947,
gradient_boosting,hurst,0.0029146393074476256,
gradient_boosting,moneyness,0.002147869131705274,
gradient_boosting,rho,0.001221481424525343,
gradient_boosting,maturity,0.00016122425017362318,
gradient_boosting,dividend,7.986142298564999e-05,
gradient_boosting,eta,7.031727674764182e-05,
gradient_boosting,volatility,9.366184454179005e-06,
gradient_boosting,spot,7.6075440726072974e-06,
gradient_boosting,rate,7.479359684041852e-06,
gradient_boosting,strike,5.0646331744854295e-06,
gradient_boosting,early_exercise_premium,3.6337173407407085e-06,
gradient_boosting,maturity_bucket_medium,2.4635271452609626e-08,
gradient_boosting,maturity_bucket_long,2.2418403428773384e-08,
gradient_boosting,maturity_bucket_short,4.206306961002996e-09,
gradient_boosting,is_put,0.0,
gradient_boosting,is_american,0.0,
linear_regression,price_monte_carlo,128.98781293542046,-128.98781293542046
linear_regression,price_black_scholes,60.30825809455581,60.30825809455581
linear_regression,price_tree,57.35369542984875,57.35369542984875
linear_regression,price_rough_bergomi_lsmc,13.837091228709813,13.837091228709813
linear_regression,price_lsmc,12.998680764498953,12.998680764498953
linear_regression,early_exercise_premium,5.257945169013727,-5.257945169013727
linear_regression,price_rough_bergomi_mc,5.131658089570388,5.131658089570388
linear_regression,moneyness,3.9070982944113237,-3.9070982944113237
linear_regression,log_moneyness,3.6217360995304926,3.6217360995304926
linear_regression,spot,1.358390811764448,1.358390811764448
linear_regression,strike,0.6925766622526579,-0.6925766622526579
linear_regression,rho,0.48894760801933784,-0.48894760801933784
linear_regression,maturity,0.448396992082488,0.448396992082488
linear_regression,eta,0.3876528956173582,0.3876528956173582
linear_regression,maturity_bucket_short,0.29730083199187446,0.29730083199187446
linear_regression,maturity_bucket_long,0.2586359304806367,-0.2586359304806367
linear_regression,hurst,0.24153043168681218,-0.24153043168681218
linear_regression,volatility,0.029538268004841703,-0.029538268004841703
linear_regression,maturity_bucket_medium,0.026543732886372424,0.026543732886372424
linear_regression,dividend,0.02367463857190243,-0.02367463857190243
linear_regression,rate,0.018481366010351132,-0.018481366010351132
linear_regression,is_american,2.0103918529912335e-12,-2.0103918529912335e-12
linear_regression,is_put,1.4783729795908584e-12,1.4783729795908584e-12
random_forest,price_rough_bergomi_lsmc,0.41566254504165656,
random_forest,price_rough_bergomi_mc,0.4142774873283686,
random_forest,price_monte_carlo,0.03387126812352487,
random_forest,price_black_scholes,0.03364470261094653,
random_forest,log_moneyness,0.03001230564982311,
random_forest,moneyness,0.026156062659843264,
random_forest,price_lsmc,0.025643459906110267,
random_forest,price_tree,0.01541502262353072,
random_forest,hurst,0.0018833111988023283,
random_forest,maturity,0.0007545707119816302,
random_forest,strike,0.0005424242380901194,
random_forest,dividend,0.00040370665607496756,
random_forest,rho,0.00034831070299828047,
random_forest,spot,0.0003463671085513686,
random_forest,eta,0.0002569276787402752,
random_forest,volatility,0.00023530638863120248,
random_forest,early_exercise_premium,0.00021498612195293898,
random_forest,rate,0.00021419353459862646,
random_forest,maturity_bucket_long,6.822852595514396e-05,
random_forest,maturity_bucket_medium,4.125549083580672e-05,
random_forest,maturity_bucket_short,7.5576989834433446e-06,
random_forest,is_put,0.0,
random_forest,is_american,0.0,
