model,split,mae,rmse,mape,mape_floor,residual_blend_alpha
price_black_scholes,valid,3.5814742451825357,5.310336171430749,131.2847738445167,1.0,
price_black_scholes,test,4.98731546307393,6.71872667795101,252.8901619134615,1.0,
price_tree,valid,3.3281675643525257,5.1930966781477315,132.06222061103864,1.0,
price_tree,test,4.475737970073599,6.493594434726458,259.8937297378765,1.0,
price_monte_carlo,valid,3.5028875349494006,5.2299830230127915,128.2142738154479,1.0,
price_monte_carlo,test,4.884570462464642,6.604603033898985,247.42393765229113,1.0,
price_lsmc,valid,3.3074278959828423,5.151069232743513,128.01912191749304,1.0,
price_lsmc,test,4.391052482125553,6.393230985788974,255.47473829093707,1.0,
price_rough_bergomi_mc,valid,1.2348392077051065,2.1265864042093447,7.091769646602489,1.0,
price_rough_bergomi_mc,test,1.3058760346452063,2.7619331288795217,13.788876164559616,1.0,
price_rough_bergomi_lsmc,valid,0.32582972508374,0.5670739516137188,3.9165275292796773,1.0,
price_rough_bergomi_lsmc,test,0.25175469949808416,0.473407035795996,8.126388907835153,1.0,
linear_regression,valid,0.8655507575175495,1.0665583988080134,25.344636840128864,1.0,
linear_regression,test,0.5354789209332967,0.69638024123004,25.32981834186605,1.0,
random_forest,valid,0.8271978627304251,1.28576371062933,7.421520312541581,1.0,
random_forest,test,0.9628732365069737,1.4613704461397583,15.947995487312017,1.0,
gradient_boosting,valid,1.0444885439367662,1.4724727103326587,10.207399361935119,1.0,
gradient_boosting,test,1.110071170436316,1.6125738787204933,21.479489412999435,1.0,
mc_dropout_nn,valid,0.3537732643366298,0.4600479158258993,3.9971959000812998,1.0,0.55
mc_dropout_nn,test,0.27368678646446354,0.4415660772105329,10.350889155552137,1.0,0.55
