entry_date,exit_date,ticker,expiration,strike,option_kind,entry_ask,exit_bid,entry_mid,exit_mid,fair_value_entry,buy_edge_entry,relative_buy_edge_entry,signal_confidence,holding_days,pnl_per_contract,pnl_dollars,return,strategy_name,fair_value_source,underlying_trend_entry,market_iv_entry
2025-01-03,2025-01-08,SPY,2025-02-07,580.0,put,5.34,5.93,5.3100000000000005,5.984999999999999,11.865176507130542,6.525176507130542,1.2288467998362602,1.0,5,0.5899999999999999,58.999999999999986,0.11048689138576777,baseline,black_scholes,0.0,0.0
2025-01-06,2025-01-08,SPY,2025-02-07,591.0,put,6.69,8.77,6.67,9.719999999999999,14.471808689242664,7.781808689242664,1.1666879594066961,1.0,2,2.079999999999999,207.99999999999991,0.31091180866965606,baseline,black_scholes,0.005760576187535671,0.0
2025-01-07,2025-01-08,SPY,2025-02-07,595.0,call,7.93,7.76,7.91,7.8100000000000005,15.0500631548083,7.1200631548082995,0.9001344064232996,0.8773750029739115,1,-0.16999999999999993,-16.999999999999993,-0.021437578814627985,baseline,black_scholes,-0.011304052395755049,0.0
2025-01-03,2025-01-08,SPY,2025-02-07,615.0,call,1.66,1.18,1.6400000000000001,1.19,10.026433898063999,8.366433898063999,5.101484084185365,1.0,5,-0.48,-48.0,-0.2891566265060241,call_only,black_scholes,0.0,0.0
2025-01-06,2025-01-08,SPY,2025-02-07,615.0,call,2.18,1.18,2.165,1.19,10.41484762177609,8.23484762177609,3.803624767564014,1.0,2,-1.0000000000000002,-100.00000000000003,-0.4587155963302753,call_only,black_scholes,0.005760576187535671,0.0
2025-01-07,2025-01-08,SPY,2025-02-07,595.0,call,7.93,7.76,7.91,7.8100000000000005,15.0500631548083,7.1200631548082995,0.9001344064232996,0.8773750029739115,1,-0.16999999999999993,-16.999999999999993,-0.021437578814627985,call_only,black_scholes,-0.011304052395755049,0.0
2025-01-03,2025-01-08,SPY,2025-02-07,580.0,put,5.34,5.93,5.3100000000000005,5.984999999999999,11.865176507130542,6.525176507130542,1.2288467998362602,1.0,5,0.5899999999999999,58.999999999999986,0.11048689138576777,put_only,black_scholes,0.0,0.0
2025-01-06,2025-01-08,SPY,2025-02-07,591.0,put,6.69,8.77,6.67,9.719999999999999,14.471808689242664,7.781808689242664,1.1666879594066961,1.0,2,2.079999999999999,207.99999999999991,0.31091180866965606,put_only,black_scholes,0.005760576187535671,0.0
2025-01-07,2025-01-08,SPY,2025-02-14,588.0,put,9.55,9.2,9.52,9.26,17.409928242637363,7.859928242637363,0.8256227145627483,0.7996051920450145,1,-0.3500000000000014,-35.00000000000014,-0.03664921465968601,put_only,black_scholes,-0.011304052395755049,0.0
2025-01-03,2025-01-08,SPY,2025-02-07,580.0,put,5.34,5.93,5.3100000000000005,5.984999999999999,11.865176507130542,6.525176507130542,1.2288467998362602,1.0,5,0.5899999999999999,58.999999999999986,0.11048689138576777,atm_tight,black_scholes,0.0,0.0
2025-01-06,2025-01-08,SPY,2025-02-07,591.0,put,6.69,8.77,6.67,9.719999999999999,14.471808689242664,7.781808689242664,1.1666879594066961,1.0,2,2.079999999999999,207.99999999999991,0.31091180866965606,atm_tight,black_scholes,0.005760576187535671,0.0
