model,nominal,empirical_coverage,interval_width,qhat
mc_dropout_raw,0.5,0.5,0.2549136557273875,0.0
mc_dropout_conformal,0.5,0.7777777777777778,0.7122097711171036,0.2286480576948584
mc_dropout_raw,0.6,0.6111111111111112,0.31993839159562826,0.0
mc_dropout_conformal,0.6,0.7777777777777778,0.7591090656293934,0.21958533701688288
mc_dropout_raw,0.7,0.6666666666666666,0.4001017382060843,0.0
mc_dropout_conformal,0.7,0.8888888888888888,1.1021151188693286,0.35100669033162196
mc_dropout_raw,0.8,0.7222222222222222,0.5008916601652614,0.0
mc_dropout_conformal,0.8,0.9444444444444444,1.5250556428735333,0.5120819913541358
mc_dropout_raw,0.9,0.8333333333333334,0.6506800670547869,0.0
mc_dropout_conformal,0.9,1.0,1.9745827207067146,0.6619513268259638
mc_dropout_raw,0.95,0.8333333333333334,0.7729558948155727,0.0
mc_dropout_conformal,0.95,1.0,1.9670744983380242,0.5970593017612256
